pmid,cid,chem,outcome
33649816,8343,Di(2-ethylhexyl)phthalate,Thyroid
33628236,11524680,"Di(isononyl) cyclohexane-1,2-dicarboxylate",Reproductive
36116648,590836,di(isononyl) phthalate,Metabolic
15513902,3026,di(n-butyl) phthalate,Reproductive
36347328,3017,diazinon ,Neurological
32679391,220773,dibenzyl phthalate,Conitive-Behavioral
33640497,220773,Dibenzyl phthalate,Cognitive-Behavioral
33573264,220773,dibenzyl phthalate,Cognitive-Behavioral
36116648,220773,dibenzyl phthalate,Metabolic
32233978,220773,dibenzyl phthalate,Metabolic
32526583,220773,Dibenzyl phthalate,Metabolic
31931345,220773,Dibenzyl phthalate,Reproductive
34426375,220773,Dibenzyl phthalate,Thyroid
33817408,7881,dibutyl phosphate,Reproductive
33113466,7881,Dibutyl phosphate,"Thyroid, Genetic"
35688051,3026,Dibutyl phthalate,Cancer
36089060,3026,Dibutyl phthalate,Cardio-vascular
34482002,3026,dibutyl phthalate,Cardio-vascular
33091774,3026,dibutyl phthalate,Cell damage
34088158,3026,Dibutyl phthalate,Cell damage
33640497,3026,dibutyl phthalate,Cognitive-Behavioral
33779718,3026,Dibutyl phthalate,Cognitive-Behavioral
33573264,3026,dibutyl phthalate,Cognitive-Behavioral
35119524,3026,Dibutyl phthalate,Cognitive-Behavioral
35901955,3026,Dibutyl phthalate,Developmental
34864161,3026,Dibutyl phthalate,Genetic
33920546,3026,Dibutyl Phthalate,"Genetic, Behavioral"
31975012,3026,dibutyl phthalate,"Hepatic, Pregnancy"
32233978,3026,dibutyl phthalate,Metabolic
36115423,3026,Dibutyl phthalate,Reproductive
33086118,3026,Dibutyl phthalate,Reproductive
32497820,3026,dibutyl phthalate,Reproductive
27148549,3026,Dibutyl phthalate,Reproductive
25614580,3026,Dibutyl phthalate,Reproductive
35692072,3026,dibutyl phthalate,Reproductive
35605887,3026,dibutyl phthalate,Reproductive
31931345,3026,Dibutyl phthalate,Reproductive
34754465,3026,dibutyl phthalate,Reproductive
34474386,3026,dibutyl phthalate,"Reproductive, Digestive"
35609737,3026,dibutyl phthalate,Respiratory
34395617,3026,Dibutyl Phthalate,Thyroid
34358912,3026,dibutyl phthalate,Thyroid
33493905,11524680,"1,2-cyclohexane dicarboxylic acid di-isononyl ester",Reproductive
34051689,6294,Dichlorodiphenyldichloroethane,Cancer
35367495,6294,Dichlorodiphenyldichloroethane,Reproductive
35457000,3035,dichlorodiphenyldichloroethylene,Metabolic
33059283,3035,Dichlorodiphenyldichloroethylene,Metabolic
32559636,3035,Dichlorodiphenyldichloroethylene,Reproductive
36060944,3035,dichlorodiphenyldichloroethylene,Reproductive
32892578,3035,Dichlorodiphenyldichloroethylene,Thyroid
34513053,3036,dichlorodiphenyltrichloroethane,Adrenal
35563302,3036,Dichlorodiphenyltrichloroethane,Adrenal
34204839,3036,Dichlorodiphenyltrichloroethane,Adrenal
35618967,3036,Dichlorodiphenyltrichloroethane,Adrenal
33231799,3036,Dichlorodiphenyltrichloroethane,Adrenal
32748142,3036,Dichlorodiphenyltrichloroethane,Adrenal
33304177,3036,dichlorodiphenyltrichloroethane,"Adrenal, Genetic"
33788101,3036,Dichlorodiphenyltrichloroethane,"Adrenal, Genetic"
32488775,3036,Dichlorodiphenyltrichloroethane,"Cell damage, Immune"
32328948,3036,Dichlorodiphenyltrichloroethane,Genetic
35051067,3036,dichlorodiphenyltrichloroethane,"Genetic, Cancer"
35743120,3036,Dichlorodiphenyltrichloroethane,Immune
32195406,3036,dichlorodiphenyltrichloroethane,Immune
33711537,3036,Dichlorodiphenyltrichloroethane,Metabolic
35434465,3036,dichlorodiphenyltrichloroethane,Metabolic
32559636,3036,dichlorodiphenyltrichloroethane,Reproductive
33638691,3036,Dichlorodiphenyltrichloroethane,Reproductive
32739526,3036,Dichlorodiphenyltrichloroethane,Reproductive
32739526,3036,Dichlorodiphenyltrichloroethane,Reproductive
33808818,3036,Dichlorodiphenyltrichloroethane,Reproductive
23478948,3036,dichlorodiphenyltrichloroethane,Reproductive
34167450,3036,Dichlorodiphenyltrichloroethane,Respiratory
32777255,3033,Diclofenac,Reproductive
34656558,8268,dicofol,Cell damage
34697989,6777,dicyclohexyl phthalate,Cell damage
34851150,6777,Dicyclohexyl Phthalate,Metabolic
34051689,969491,dieldrin,Cancer
33440917,969491,dieldrin,Metabolic
35367495,969491,dieldrin,Reproductive
34267309,654,diethyl phosphate,Cognitive-Behavioral
36150437,654,Diethyl phosphate,Reproductive
32679391,6781,diethyl phthalate,Conitive-Behavioral
35688051,6781,Diethyl phthalate,Cancer
34482002,6781,diethyl phthalate,Cardio-vascular
35777568,6781,Diethyl phthalate,Hepatic
36113621,6781,diethyl phthalate,Immune
34628254,6781,diethyl phthalate,Metabolic
34793805,6781,diethyl phthalate,Metabolic
36068761,6781,diethyl phthalate,Metabolic
33460632,6781,diethyl phthalate,Metabolic
32867766,6781,Diethyl Phthalate,Metabolic
32233978,6781,diethyl phthalate,Metabolic
36012094,6781,Diethyl phthalate,Metabolic
34822691,6781,diethyl phthalate,Pregnancy
35504341,6781,Diethyl phthalate,Pregnancy
34129163,6781,diethyl phthalate,Reproductive
35931390,6781,Diethyl phthalate,Respiratory
34426375,6781,diethyl phthalate,Thyroid
36150437,3683036,Diethyl thiophosphate,Reproductive
33721218,8343,Diethylhexyl phthalate,Cancer
35901955,8343,Diethylhexyl phthalate,Developmental
33297244,8343,Diethylhexyl Phthalate,"Pregnancy, Developmental"
36277366,448537,diethylstilbestrol,Cell damage
34999879,448537,Diethylstilbestrol,Developmental
33920546,448537,Diethylstilbestrol,"Genetic, Behavioral"
32070782,448537,diethylstilbestrol,Metabolic
34207679,448537,diethylstilbestrol,Neurological
